Timestamp,CAN ID,Length,Data
2025-04-11 16:46:40.688948,0x550,8,0x10 0x0 0x0 0x0 0x0 0x40 0x0 0x90
2025-04-11 16:46:40.689186,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:42.316018,0x551,8,0x0 0x0 0x80 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:42.368895,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:42.422467,0x540,8,0x2 0x0 0x0 0x0 0x11 0x0 0x0 0x9B
2025-04-11 16:46:42.471333,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0xE
2025-04-11 16:46:42.524457,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:42.574169,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:42.626655,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:42.680603,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:42.733115,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:42.786638,0x550,8,0x10 0x0 0x0 0x0 0x0 0x40 0x0 0xB0
2025-04-11 16:46:42.839783,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:46:42.893014,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:42.946142,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:46:42.999412,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:43.052899,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:43.106590,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:43.159091,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:46:43.212191,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:43.262104,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0xF
2025-04-11 16:46:43.315450,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:43.368019,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0xF
2025-04-11 16:46:43.421403,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:43.470611,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0xF
2025-04-11 16:46:43.523777,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:43.572839,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:43.626305,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:43.679965,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:43.733160,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:43.781742,0x541,8,0x6 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:43.835052,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:46:43.888468,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:43.941655,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:43.994690,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:44.048012,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:46:44.101588,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:44.154622,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:46:44.207591,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:44.261574,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:44.314365,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:44.364002,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x10
2025-04-11 16:46:44.416484,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:44.469732,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x10
2025-04-11 16:46:44.523043,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:44.576530,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:44.629569,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:44.678819,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:44.732594,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:44.781763,0x541,8,0x6 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:46:44.834403,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:44.887763,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:44.940946,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:46:44.994638,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:45.047291,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:46:45.100641,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:45.153918,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:46:45.207694,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:46:45.260320,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:46:45.313679,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:46:45.367431,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x11
2025-04-11 16:46:45.420199,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:46:45.469285,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x11
2025-04-11 16:46:45.522969,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
